OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092RU,2026-05-28T18:21:46.857024,15.47522017,.0014274,82.5638,247.0469,331.3039,28.7424,0,U,50032,999,25185,.10458E-3,.5435E-4,0
COSMOS 1408 DEB,1982-092SW,2026-05-28T17:54:29.826720,15.79014617,.001172,82.6098,252.6554,185.3796,174.7347,0,U,50058,999,25426,.38114E-3,.68142E-3,0
COSMOS 1408 DEB,1982-092ADS,2026-05-27T17:03:08.281728,15.84628804,.00244142,82.1732,38.8611,325.0687,34.8978,0,U,50404,999,23742,.53002664E-2,.1230851E-1,.62453945E-3
COSMOS 1408 DEB,1982-092ALR,2026-05-28T07:02:21.278112,15.67658044,.0021031,82.5661,259.3154,249.2173,110.6834,0,U,50621,999,24850,.38842E-3,.4304E-3,0
COSMOS 2251,1993-036A,2026-05-29T01:21:30.378240,14.33251888,.0023953,74.0405,10.1687,52.7316,307.6014,0,U,22675,999,72170,.45961E-4,.101E-5,0
COSMOS 2251 DEB,1993-036E,2026-05-29T01:58:04.811232,14.32621780,.0014875,74.0379,18.1144,351.1725,161.3100,0,U,33757,999,90392,.39726E-4,.82E-6,0
COSMOS 2251 DEB,1993-036F,2026-05-29T00:38:51.155808,14.52752774,.001665,74.0281,259.5960,291.2934,182.9263,0,U,33758,999,90733,.79348E-3,.3236E-4,0
COSMOS 2251 DEB,1993-036H,2026-05-29T05:17:27.254112,14.35774380,.0019957,74.0320,334.0573,33.3815,83.1829,0,U,33760,999,90528,.98587E-4,.26E-5,0
COSMOS 2251 DEB,1993-036J,2026-05-28T21:36:26.820288,14.43011240,.0023022,74.0355,301.8866,345.0698,141.1780,0,U,33761,999,90645,.35278E-3,.1159E-4,0
COSMOS 2251 DEB,1993-036K,2026-05-29T01:24:32.486976,14.33715639,.0014767,74.0422,4.1213,25.7943,127.0043,0,U,33762,999,90445,.44451E-4,.98E-6,0
COSMOS 2251 DEB,1993-036M,2026-05-28T22:55:16.243968,14.39840444,.0022321,74.0334,323.7938,247.4514,239.7653,0,U,33764,999,90563,.26923E-3,.821E-5,0
COSMOS 2251 DEB,1993-036N,2026-05-29T02:30:00.953280,15.22537413,.0055289,73.9994,183.5985,233.1999,126.4120,0,U,33765,999,92155,.22419E-2,.54619E-3,0
COSMOS 2251 DEB,1993-036P,2026-05-29T02:14:58.731648,14.35468417,.0064037,74.1851,190.9243,345.6570,14.2763,0,U,33766,999,90146,.37447E-3,.1077E-4,0
COSMOS 2251 DEB,1993-036R,2026-05-28T22:30:49.201344,13.58612463,.0367215,74.0685,309.9685,70.7112,91.4319,0,U,33768,999,85566,.36428E-3,.395E-5,0
COSMOS 2251 DEB,1993-036U,2026-05-29T04:47:18.735360,14.74340032,.0013679,74.0436,204.8130,207.3220,213.6538,0,U,33779,999,90993,.92737E-3,.6126E-4,0
COSMOS 2251 DEB,1993-036X,2026-05-28T22:49:52.034016,14.40882736,.0020397,74.0326,328.1840,357.1058,131.8727,0,U,33782,999,90534,.36794E-3,.1156E-4,0
COSMOS 2251 DEB,1993-036AA,2026-05-28T21:10:08.083200,14.73937879,.0017365,73.8644,91.1703,353.3104,62.2998,0,U,33785,999,90967,.10024E-2,.6568E-4,0
COSMOS 2251 DEB,1993-036AE,2026-05-29T00:43:59.056032,13.89023046,.0240806,74.0618,163.4217,240.0283,148.2791,0,U,33789,999,87418,.3444E-3,.502E-5,0
COSMOS 2251 DEB,1993-036AG,2026-05-29T00:56:33.689184,14.43927058,.002996,74.1737,89.2584,233.1421,208.7869,0,U,33791,999,90466,.67279E-3,.2283E-4,0
COSMOS 2251 DEB,1993-036AH,2026-05-29T04:27:37.154880,13.46123979,.0429551,73.8993,77.8401,113.0958,319.0334,0,U,33792,999,84695,.77102E-3,.79E-5,0
COSMOS 2251 DEB,1993-036AJ,2026-05-29T04:44:24.696384,14.28263161,.0078787,73.9803,205.4091,317.2710,98.0263,0,U,33793,999,89597,.43621E-3,.1098E-4,0
COSMOS 2251 DEB,1993-036AL,2026-05-29T04:47:37.254336,15.14040391,.0030753,74.0425,90.9703,141.0073,285.8429,0,U,33795,999,92549,.14376E-2,.26496E-3,0
COSMOS 2251 DEB,1993-036AN,2026-05-29T05:19:16.195008,14.58581987,.0061233,74.0463,76.4426,122.2452,30.0697,0,U,33797,999,91426,.4427E-3,.2084E-4,0
COSMOS 2251 DEB,1993-036AP,2026-05-29T04:54:59.370048,14.44793861,.0092487,74.0281,183.9279,264.1177,162.1084,0,U,33798,999,91012,.10731E-3,.363E-5,0
COSMOS 2251 DEB,1993-036AQ,2026-05-29T00:09:51.643872,14.84343588,.0023287,74.0298,111.2117,148.5630,285.1743,0,U,33799,999,91289,.22696E-2,.19166E-3,0
COSMOS 2251 DEB,1993-036AW,2026-05-29T00:41:10.747968,14.58240910,.0060626,74.0310,352.9809,139.2352,221.3373,0,U,33805,999,91665,.27005E-3,.1249E-4,0
COSMOS 2251 DEB,1993-036BC,2026-05-28T20:48:06.856128,15.12384269,.0027464,73.8311,314.0031,12.3380,101.3472,0,U,33811,999,92539,.12433E-2,.218E-3,0
COSMOS 2251 DEB,1993-036BH,2026-05-29T02:06:53.649216,13.82045662,.02646,73.8936,181.6729,163.3273,197.6764,0,U,33816,999,86985,.44652E-3,.604E-5,0
COSMOS 2251 DEB,1993-036BK,2026-05-29T01:55:13.753056,15.31551692,.0005523,74.0730,175.3441,102.7499,257.4322,0,U,33818,999,92408,.26517E-2,.81703E-3,0
COSMOS 2251 DEB,1993-036BL,2026-05-28T16:31:45.310368,14.32811785,.0089261,74.1789,267.6978,81.5988,28.3336,0,U,33819,999,89886,.63058E-3,.1773E-4,0
COSMOS 2251 DEB,1993-036BN,2026-05-28T22:31:40.491840,15.36864075,.0036485,74.0237,146.0584,137.6067,222.7969,0,U,33821,999,77560,.11434E-2,.42331E-3,0
COSMOS 2251 DEB,1993-036BP,2026-05-28T16:35:41.595360,14.14062230,.0150051,74.0691,258.6693,265.2726,221.2352,0,U,33822,999,88413,.1342E-2,.2818E-4,0
COSMOS 2251 DEB,1993-036BQ,2026-05-28T15:53:50.141760,13.99340157,.0209102,73.8094,216.6773,312.9524,174.4241,0,U,33823,999,87944,.29167E-3,.485E-5,0
COSMOS 2251 DEB,1993-036BS,2026-05-29T04:31:05.487744,14.72754648,.0076881,73.9844,61.3544,347.5793,173.3909,0,U,33825,999,91342,.15775E-2,.1054E-3,0
COSMOS 2251 DEB,1993-036BT,2026-05-28T21:59:27.780000,14.53905846,.0081985,74.0637,95.0276,98.8221,318.4934,0,U,33826,999,90197,.30042E-2,.13213E-3,0
COSMOS 2251 DEB,1993-036BV,2026-05-28T20:42:17.700768,14.44842220,.0028988,74.0459,287.1677,321.0255,201.0151,0,U,33828,999,90726,.34333E-3,.1173E-4,0
COSMOS 2251 DEB,1993-036BX,2026-05-29T00:37:02.253792,14.78955323,.004211,74.0324,261.7783,340.7373,134.4809,0,U,33830,999,91943,.77346E-3,.5764E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-05-28T16:12:45.614016,14.62850974,.0022314,74.0549,250.8152,243.8609,239.6503,0,U,33832,999,90864,.12765E-2,.6521E-4,0
COSMOS 2251 DEB,1993-036CC,2026-05-29T00:49:38.493120,14.63749733,.0053919,74.0546,140.6803,152.2768,265.1353,0,U,33835,999,91236,.75434E-3,.3986E-4,0
COSMOS 2251 DEB,1993-036CD,2026-05-29T01:55:40.151712,14.82737963,.002397,73.9959,287.8521,93.7541,27.6538,0,U,33836,999,66566,.14224E-2,.11531E-3,0
COSMOS 2251 DEB,1993-036CE,2026-05-28T21:54:55.925856,14.51044059,.0035406,74.0114,100.7652,280.5109,79.2064,0,U,33837,999,91220,.25137E-3,.974E-5,0
COSMOS 2251 DEB,1993-036CF,2026-05-29T03:13:17.122080,14.48851875,.0027954,74.0362,196.1841,276.3915,114.4286,0,U,33838,999,90993,.26879E-3,.993E-5,0
COSMOS 2251 DEB,1993-036CG,2026-05-29T05:25:36.826752,14.64895471,.008476,74.0392,244.5082,313.9979,71.9191,0,U,33839,999,92032,.17369E-3,.944E-5,0
COSMOS 2251 DEB,1993-036CJ,2026-05-29T00:07:00.244416,14.38082602,.0020567,74.0375,330.0195,12.4213,148.6512,0,U,33841,999,90518,.19147E-3,.555E-5,0
COSMOS 2251 DEB,1993-036CK,2026-05-28T18:30:43.437312,14.43052060,.0047268,74.0333,269.5083,336.6150,23.2856,0,U,33842,999,90746,.23455E-3,.77E-5,0
COSMOS 2251 DEB,1993-036CM,2026-05-29T00:06:26.716032,14.34115724,.0046927,74.0650,107.2955,89.1296,340.9305,0,U,33844,999,90123,.41432E-3,.1148E-4,0
COSMOS 2251 DEB,1993-036CR,2026-05-29T04:36:33.972768,14.45247223,.0042334,74.0324,45.7421,66.4044,91.4059,0,U,33848,999,90249,.10845E-2,.3821E-4,0
COSMOS 2251 DEB,1993-036CV,2026-05-28T03:45:29.819232,14.23869518,.01131039,73.8002,158.3088,160.7010,276.7272,0,U,33892,999,89323,.47134546E-3,.1127E-4,0
COSMOS 2251 DEB,1993-036CX,2026-05-28T19:53:16.586880,13.21704203,.0570214,73.7661,90.5259,346.0780,12.5126,0,U,33894,999,82915,.32816E-2,.3182E-4,0
COSMOS 2251 DEB,1993-036CZ,2026-05-29T05:01:09.600960,14.19532700,.0125751,73.7663,212.5006,359.7343,59.9330,0,U,33896,999,89116,.51957E-3,.1158E-4,0
COSMOS 2251 DEB,1993-036DC,2026-05-28T23:32:24.923328,14.62486019,.0056143,74.0509,125.9226,146.3423,270.3281,0,U,33899,999,91283,.69079E-3,.3552E-4,0
COSMOS 2251 DEB,1993-036DD,2026-05-29T03:42:34.638912,14.59025038,.0047824,74.0189,40.6980,150.5561,9.2367,0,U,33900,999,91477,.38973E-3,.183E-4,0
COSMOS 2251 DEB,1993-036DE,2026-05-29T03:02:37.794912,15.45019685,.0031431,73.7658,47.2748,164.8502,195.3656,0,U,33901,999,92073,.29726E-2,.145539E-2,0
COSMOS 2251 DEB,1993-036DJ,2026-05-29T00:52:55.827264,14.35968549,.0057136,73.8868,6.8412,219.2247,291.7001,0,U,33905,999,90088,.55303E-3,.1609E-4,0
COSMOS 2251 DEB,1993-036DK,2026-05-29T01:02:29.480928,14.59800428,.0032856,74.0302,2.8074,2.2728,149.7843,0,U,33906,999,90447,.16799E-2,.8067E-4,0
COSMOS 2251 DEB,1993-036DL,2026-05-28T21:22:14.192256,14.32535912,.0114528,74.0674,89.4820,106.6104,311.4850,0,U,33907,999,88972,.19998E-2,.5812E-4,0
COSMOS 2251 DEB,1993-036DM,2026-05-28T09:29:38.212224,14.08661882,.0216645,73.8374,269.6735,263.7035,93.9388,0,U,33908,999,87819,.10047E-2,.2119E-4,0
COSMOS 2251 DEB,1993-036DQ,2026-05-29T02:47:45.739968,14.79212359,.0010311,74.0887,194.6655,76.2008,314.5701,0,U,33911,999,91116,.16172E-2,.12008E-3,0
COSMOS 2251 DEB,1993-036DR,2026-05-28T16:53:50.531712,14.52927624,.0011659,74.0349,234.9035,278.0146,207.4298,0,U,33912,999,90857,.68835E-3,.2811E-4,0
COSMOS 2251 DEB,1993-036DS,2026-05-28T16:30:42.018912,14.49160104,.0048288,74.0339,230.6605,292.3340,190.0259,0,U,33913,999,90875,.39813E-3,.1509E-4,0
COSMOS 2251 DEB,1993-036DT,2026-05-29T05:04:20.671104,13.72203171,.0303729,74.0889,99.0219,163.2242,327.4732,0,U,33914,999,86378,.40274E-3,.489E-5,0
COSMOS 2251 DEB,1993-036DU,2026-05-28T21:49:34.955040,14.35537135,.010553,74.0423,87.6070,139.4294,284.3015,0,U,33915,999,90156,.39257E-3,.1178E-4,0
COSMOS 2251 DEB,1993-036DV,2026-05-28T23:23:53.320416,13.68759445,.0325357,74.0497,125.7821,260.4785,154.8249,0,U,33916,999,86179,.38219E-3,.452E-5,0
COSMOS 2251 DEB,1993-036DW,2026-05-29T04:47:53.608992,13.69819957,.0333566,74.1063,207.7015,269.0482,87.2410,0,U,33917,999,86026,.16522E-2,.2116E-4,0
COSMOS 2251 DEB,1993-036DZ,2026-05-28T22:17:43.154016,14.60823118,.003142,74.0600,340.0129,309.4416,50.3970,0,U,33920,999,90554,.14701E-2,.7211E-4,0
COSMOS 2251 DEB,1993-036EB,2026-05-29T05:25:46.149312,14.50045470,.0023821,74.0463,193.5638,263.0034,164.2241,0,U,33922,999,91005,.28667E-3,.1087E-4,0
COSMOS 2251 DEB,1993-036ED,2026-05-29T00:53:11.139936,13.50460510,.040211,73.9138,1.2534,6.2757,354.3171,0,U,33924,999,84997,.45804E-3,.464E-5,0
COSMOS 2251 DEB,1993-036EH,2026-05-28T21:02:36.654432,14.47767411,.0060261,73.9245,97.7847,355.3391,4.7197,0,U,33928,999,91063,.31702E-3,.1169E-4,0
COSMOS 2251 DEB,1993-036EM,2026-05-29T00:20:13.158816,14.39219210,.0036054,74.0342,7.2821,45.9614,314.4501,0,U,33932,999,90404,.39834E-3,.1218E-4,0
COSMOS 2251 DEB,1993-036EN,2026-05-28T23:12:13.407840,14.33838807,.0070295,74.0872,115.2478,81.7697,279.1419,0,U,33933,999,90181,.33061E-3,.921E-5,0
COSMOS 2251 DEB,1993-036EP,2026-05-29T00:52:41.580768,14.60354745,.0017022,74.0350,141.4535,223.2818,136.7011,0,U,33934,999,91180,.73539E-3,.3535E-4,0
COSMOS 2251 DEB,1993-036ER,2026-05-29T04:53:20.008320,14.61336830,.002864,74.0176,77.1152,188.7587,171.3084,0,U,33936,999,91335,.6525E-3,.3214E-4,0
COSMOS 2251 DEB,1993-036ET,2026-05-28T18:30:11.616192,14.47388186,.0016767,74.0453,255.1477,299.0865,184.2911,0,U,33938,999,90816,.40983E-3,.1478E-4,0
COSMOS 2251 DEB,1993-036EU,2026-05-28T21:36:40.125024,15.21461341,.0012468,73.9988,94.7141,201.8941,158.1726,0,U,33939,999,91276,.37829E-2,.86199E-3,0
COSMOS 2251 DEB,1993-036EV,2026-05-28T12:50:12.126048,14.60290631,.0011936,74.0386,185.4673,230.1830,281.6564,0,U,33940,999,91027,.71902E-3,.3448E-4,0
COSMOS 2251 DEB,1993-036EX,2026-05-28T21:36:22.871808,14.38209210,.0020362,74.0363,326.9117,12.1860,105.8616,0,U,33942,999,90537,.18506E-3,.537E-5,0
COSMOS 2251 DEB,1993-036EZ,2026-05-29T01:39:49.951296,14.37665339,.0112663,74.0405,0.9839,60.0461,95.7231,0,U,33944,999,90432,.28422E-3,.892E-5,0
COSMOS 2251 DEB,1993-036FA,2026-05-28T23:51:17.032032,14.34725659,.0022121,74.0302,359.7686,47.6517,312.6504,0,U,33945,999,90414,.11829E-3,.31E-5,0
COSMOS 2251 DEB,1993-036FD,2026-05-29T00:56:41.675136,14.35806632,.0022882,74.0359,358.1343,35.7086,324.5591,0,U,33948,999,90424,.15678E-3,.429E-5,0
COSMOS 2251 DEB,1993-036FE,2026-05-29T02:56:55.276800,14.40014482,.0018754,74.0246,304.3003,7.3439,115.6855,0,U,33971,999,90548,.23276E-3,.708E-5,0
COSMOS 2251 DEB,1993-036FF,2026-05-28T05:45:13.031424,14.38011535,.012361,73.9942,243.5054,12.8661,15.2272,0,U,33972,999,89466,.10123E-2,.3319E-4,0
COSMOS 2251 DEB,1993-036FG,2026-05-29T00:13:21.029088,14.45548710,.0047291,74.0061,150.5345,288.3890,141.0581,0,U,33973,999,91017,.12073E-3,.404E-5,0
COSMOS 2251 DEB,1993-036FJ,2026-05-28T23:58:01.606080,14.00766537,.019202,73.7991,150.3725,254.2821,103.7058,0,U,33975,999,88171,.30079E-3,.499E-5,0
COSMOS 2251 DEB,1993-036FP,2026-05-29T04:50:15.443232,14.59648188,.0029754,74.0191,99.9325,201.8282,274.9864,0,U,33980,999,91237,.66493E-3,.3157E-4,0
COSMOS 2251 DEB,1993-036FR,2026-05-29T03:16:46.097760,14.61053303,.0073752,74.0714,40.7868,42.2435,118.3269,0,U,33982,999,91603,.46375E-3,.2336E-4,0
COSMOS 2251 DEB,1993-036FS,2026-05-29T05:02:42.518112,14.51300808,.0021835,74.0488,192.3137,253.9164,167.4787,0,U,33983,999,91058,.35909E-3,.1406E-4,0
COSMOS 2251 DEB,1993-036FT,2026-05-29T03:13:40.024992,14.67897238,.0024318,74.0095,23.4316,173.8628,343.4143,0,U,33984,999,91521,.79686E-3,.4548E-4,0
COSMOS 2251 DEB,1993-036FV,2026-05-29T00:36:18.429120,14.43975857,.0041315,74.0359,351.7325,27.5539,133.7190,0,U,33986,999,90442,.57564E-3,.1961E-4,0
COSMOS 2251 DEB,1993-036FZ,2026-05-29T02:39:30.229056,13.50245911,.0405122,73.9292,17.2597,6.6272,158.7044,0,U,33990,999,84988,.2976E-3,.295E-5,0
COSMOS 2251 DEB,1993-036GB,2026-05-29T02:48:12.496320,14.67608133,.0052966,74.0243,14.4913,91.4264,66.8682,0,U,33992,999,91579,.79631E-3,.4591E-4,0
COSMOS 2251 DEB,1993-036GD,2026-05-28T17:04:26.833152,14.41325404,.0023637,74.0436,241.3873,334.3161,144.7654,0,U,33994,999,90825,.76408E-4,.221E-5,0
COSMOS 2251 DEB,1993-036GE,2026-05-29T00:43:19.170336,14.35567925,.0059069,74.0590,173.0761,147.1706,213.3139,0,U,33995,999,89919,.62143E-3,.1801E-4,0
COSMOS 2251 DEB,1993-036GJ,2026-05-28T15:53:36.447360,14.87393050,.0041506,73.9172,256.7223,109.2424,251.3253,0,U,33999,999,91729,.17496E-2,.16075E-3,0
COSMOS 2251 DEB,1993-036GL,2026-05-28T22:34:14.511936,14.37277981,.0019988,74.0384,334.0937,16.8033,148.7524,0,U,34001,999,90548,.14748E-3,.414E-5,0
COSMOS 2251 DEB,1993-036GN,2026-05-28T23:55:03.637632,13.84904239,.0278349,74.0772,3.4090,77.1270,286.0791,0,U,34003,999,86740,.15655E-2,.2369E-4,0
COSMOS 2251 DEB,1993-036GP,2026-05-28T23:49:04.431360,14.50463719,.002965,74.0353,359.0876,336.9588,23.0240,0,U,34004,999,90454,.10829E-2,.4233E-4,0
COSMOS 2251 DEB,1993-036GQ,2026-05-28T13:57:19.401984,14.40433193,.0020811,74.0454,265.3533,342.6412,32.4090,0,U,34005,999,90781,.97059E-4,.283E-5,0
COSMOS 2251 DEB,1993-036GR,2026-05-29T01:04:11.932320,15.10932165,.0002938,74.0452,161.9796,319.3571,72.0205,0,U,34006,999,91182,.40093E-2,.67459E-3,0
COSMOS 2251 DEB,1993-036GS,2026-05-29T02:16:11.691264,14.66048382,.0046133,74.0197,24.3770,117.5383,243.0485,0,U,34007,999,91531,.74555E-3,.4125E-4,0
COSMOS 2251 DEB,1993-036GT,2026-05-29T02:40:13.098144,14.33255408,.0023617,74.0353,24.6178,340.1570,172.0924,0,U,34008,999,90362,.99369E-4,.248E-5,0
COSMOS 2251 DEB,1993-036GU,2026-05-29T03:57:43.719840,14.33352525,.0026754,74.0382,30.9452,61.6948,97.1858,0,U,34009,999,90344,.12253E-3,.313E-5,0
COSMOS 2251 DEB,1993-036GW,2026-05-28T08:53:11.384160,14.42653625,.0038121,74.0143,20.7001,68.6026,291.9191,0,U,34011,999,90318,.74719E-3,.248E-4,0
COSMOS 2251 DEB,1993-036GZ,2026-05-28T20:43:53.347296,14.75107532,.0038321,74.0161,314.1223,53.3979,61.3841,0,U,34014,999,91766,.93192E-3,.6332E-4,0
COSMOS 2251 DEB,1993-036HA,2026-05-29T02:48:08.490816,14.61368854,.0021272,74.0227,199.3390,257.6491,130.9536,0,U,34015,999,90975,.34648E-3,.1688E-4,0
COSMOS 2251 DEB,1993-036HD,2026-05-29T00:53:42.083232,13.81290562,.0264706,73.8754,168.5137,173.8558,216.8441,0,U,34018,999,86967,.32266E-3,.423E-5,0
COSMOS 2251 DEB,1993-036HE,2026-05-28T06:27:16.054848,14.34562220,.0062466,73.9517,104.3008,246.6641,182.8193,0,U,34019,999,89908,.52589E-3,.1491E-4,0
COSMOS 2251 DEB,1993-036HG,2026-05-28T08:11:35.103264,14.50469117,.0021504,74.0345,176.8579,278.7293,96.6782,0,U,34021,999,91045,.26916E-3,.1028E-4,0
COSMOS 2251 DEB,1993-036HH,2026-05-28T22:21:20.615904,14.39193527,.0022394,74.0537,322.6631,348.4289,172.5545,0,U,34022,999,90600,.18646E-3,.553E-5,0
COSMOS 2251 DEB,1993-036HJ,2026-05-28T21:15:17.625024,14.40903541,.0018667,74.0245,302.3153,1.1751,120.5096,0,U,34023,999,90621,.27466E-3,.856E-5,0
COSMOS 2251 DEB,1993-036HK,2026-05-29T00:10:17.348736,14.35573448,.0020872,74.0471,9.3728,21.7643,96.2999,0,U,34024,999,90424,.15828E-3,.431E-5,0
COSMOS 2251 DEB,1993-036HM,2026-05-29T04:25:48.823104,13.65626165,.0347219,73.7678,58.7863,262.3733,252.7819,0,U,34026,999,85817,.62391E-3,.745E-5,0
COSMOS 2251 DEB,1993-036HP,2026-05-28T20:15:01.594080,13.20780033,.0546426,73.8813,90.9890,200.7482,188.0105,0,U,34028,999,83214,.33948E-3,.282E-5,0
COSMOS 2251 DEB,1993-036HS,2026-05-29T02:08:18.384288,14.61356140,.0024046,74.0113,175.5850,256.1391,134.9241,0,U,34031,999,91009,.87486E-3,.4315E-4,0
COSMOS 2251 DEB,1993-036HW,2026-05-29T03:02:29.765760,14.53965188,.0039586,74.0657,33.7890,358.9061,151.8744,0,U,34035,999,90397,.14229E-2,.6033E-4,0
COSMOS 2251 DEB,1993-036HX,2026-05-29T03:36:41.770080,15.12152573,.0009443,74.0122,166.6919,220.0110,140.0388,0,U,34036,999,91086,.39766E-2,.69284E-3,0
COSMOS 2251 DEB,1993-036HY,2026-05-29T04:44:46.857120,14.35163101,.0052667,74.0497,103.8119,114.0740,246.5936,0,U,34037,999,90119,.49835E-3,.1421E-4,0
COSMOS 2251 DEB,1993-036JB,2026-05-28T23:36:51.913152,13.68994362,.0336182,73.9552,149.3601,70.0990,293.6015,0,U,34040,999,85888,.15838E-2,.2012E-4,0
COSMOS 2251 DEB,1993-036JG,2026-05-29T00:51:18.482112,14.34155640,.0025753,74.0396,4.7042,48.6609,101.5087,0,U,34045,999,90431,.85826E-4,.215E-5,0
COSMOS 2251 DEB,1993-036JH,2026-05-29T04:11:24.537984,14.47940621,.0076639,74.0392,57.4268,101.5466,48.0727,0,U,34046,999,90248,.12744E-2,.4881E-4,0
COSMOS 2251 DEB,1993-036JM,2026-05-28T13:33:17.911296,13.96611665,.021686,74.0868,83.7516,108.5506,66.9336,0,U,34050,999,87760,.70129E-3,.1163E-4,0
COSMOS 2251 DEB,1993-036JQ,2026-05-28T19:16:09.015168,13.49355927,.042378,73.8440,332.8779,93.7259,271.2397,0,U,34053,999,84937,.54559E-3,.58E-5,0
COSMOS 2251 DEB,1993-036JT,2026-05-28T23:50:27.898944,14.21669400,.012546,74.0560,136.9944,146.1854,282.8080,0,U,34056,999,88787,.13403E-2,.3165E-4,0
COSMOS 2251 DEB,1993-036JV,2026-05-28T07:58:08.617152,13.56271905,.037729,73.9337,268.0271,231.7057,155.1307,0,U,34058,999,85401,.57659E-3,.618E-5,0
COSMOS 2251 DEB,1993-036JW,2026-05-29T04:26:02.138208,14.53924068,.001833,74.0375,230.1019,268.8467,116.6932,0,U,34059,999,90892,.5215E-3,.2172E-4,0
COSMOS 2251 DEB,1993-036JY,2026-05-28T13:09:02.613024,14.40698462,.0020375,74.0387,314.9581,354.5637,65.8896,0,U,34061,999,90582,.27665E-3,.859E-5,0
COSMOS 2251 DEB,1993-036JZ,2026-05-28T12:11:55.543200,14.83874803,.0069495,74.0254,168.4814,206.8627,305.3131,0,U,34062,999,91065,.14098E-2,.12199E-3,0
COSMOS 2251 DEB,1993-036KB,2026-05-28T22:52:50.825856,14.42894495,.0021788,74.0318,320.4999,351.1378,170.7049,0,U,34064,999,90553,.40707E-3,.1337E-4,0
COSMOS 2251 DEB,1993-036KC,2026-05-28T21:50:22.743744,14.38226964,.0016405,74.0354,310.1522,9.2116,116.2078,0,U,34065,999,90608,.13787E-3,.393E-5,0
COSMOS 2251 DEB,1993-036KH,2026-05-28T06:06:12.161952,14.82101455,.002039,73.9970,147.6010,227.1403,147.2003,0,U,34070,999,91074,.1997E-2,.15946E-3,0
COSMOS 2251 DEB,1993-036KK,2026-05-28T22:00:56.899008,14.59698555,.0041409,74.0568,86.1511,44.0503,19.7194,0,U,34114,999,90238,.26782E-2,.12917E-3,0
COSMOS 2251 DEB,1993-036KL,2026-05-29T00:18:14.574816,14.82270237,.0029993,74.0058,271.3235,51.2714,309.1137,0,U,34115,999,91888,.11203E-2,.8994E-4,0
COSMOS 2251 DEB,1993-036KM,2026-05-29T05:15:16.479936,14.54056731,.0012095,74.0410,226.5502,266.8929,124.2041,0,U,34116,999,90920,.65415E-3,.2736E-4,0
COSMOS 2251 DEB,1993-036KN,2026-05-29T02:42:49.933152,14.40693148,.0056261,74.0398,34.4097,72.0502,288.6775,0,U,34117,999,90533,.63656E-3,.2046E-4,0
COSMOS 2251 DEB,1993-036KP,2026-05-28T19:07:59.649024,15.01287536,.0055993,73.9501,269.1945,57.1769,65.2376,0,U,34118,999,91677,.20414E-2,.27221E-3,0
COSMOS 2251 DEB,1993-036KR,2026-05-28T20:53:11.582880,13.98851837,.0182436,73.9917,286.6634,77.9298,45.3587,0,U,34120,999,88317,.27712E-3,.438E-5,0
COSMOS 2251 DEB,1993-036KS,2026-05-28T12:42:30.381984,13.92533884,.0238914,73.9898,171.1880,340.3629,138.7084,0,U,34121,999,87446,.1108E-2,.178E-4,0
COSMOS 2251 DEB,1993-036KT,2026-05-28T23:47:12.518304,14.67235310,.008044,74.0335,156.2363,8.9859,18.4977,0,U,34122,999,91136,.13218E-2,.7793E-4,0
